2014-09-09 22:08:27,780 INFO  yusoof-0 thread-0 [ run-34, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,791 INFO  yusoof-0 thread-0 [ run-35, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,800 INFO  yusoof-0 thread-0 [ run-36, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,811 INFO  yusoof-0 thread-0 [ run-37, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,820 INFO  yusoof-0 thread-0 [ run-38, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,830 INFO  yusoof-0 thread-0 [ run-39, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,841 INFO  yusoof-0 thread-0 [ run-40, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,850 INFO  yusoof-0 thread-0 [ run-41, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,860 INFO  yusoof-0 thread-0 [ run-42, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,869 INFO  yusoof-0 thread-0 [ run-43, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,890 INFO  yusoof-0 thread-0 [ run-44, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,902 INFO  yusoof-0 thread-0 [ run-45, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,910 INFO  yusoof-0 thread-0 [ run-46, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,919 INFO  yusoof-0 thread-0 [ run-47, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,932 INFO  yusoof-0 thread-0 [ run-48, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,943 INFO  yusoof-0 thread-0 [ run-49, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,950 INFO  yusoof-0 thread-0 [ run-50, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,959 INFO  yusoof-0 thread-0 [ run-51, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,968 INFO  yusoof-0 thread-0 [ run-52, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,978 INFO  yusoof-0 thread-0 [ run-53, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,989 INFO  yusoof-0 thread-0 [ run-54, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,000 INFO  yusoof-0 thread-0 [ run-55, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,010 INFO  yusoof-0 thread-0 [ run-56, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,022 INFO  yusoof-0 thread-0 [ run-57, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,033 INFO  yusoof-0 thread-0 [ run-58, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,048 INFO  yusoof-0 thread-0 [ run-59, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,059 INFO  yusoof-0 thread-0 [ run-60, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,066 INFO  yusoof-0 thread-0 [ run-61, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,078 INFO  yusoof-0 thread-0 [ run-62, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,097 INFO  yusoof-0 thread-0 [ run-63, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,108 INFO  yusoof-0 thread-0 [ run-64, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,121 INFO  yusoof-0 thread-0 [ run-65, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,134 INFO  yusoof-0 thread-0 [ run-66, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,151 INFO  yusoof-0 thread-0 [ run-67, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,160 INFO  yusoof-0 thread-0 [ run-68, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,168 INFO  yusoof-0 thread-0 [ run-69, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,178 INFO  yusoof-0 thread-0 [ run-70, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,190 INFO  yusoof-0 thread-0 [ run-71, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,206 INFO  yusoof-0 thread-0 [ run-72, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,215 INFO  yusoof-0 thread-0 [ run-73, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,224 INFO  yusoof-0 thread-0 [ run-74, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,230 INFO  yusoof-0 thread-0 [ run-75, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,243 INFO  yusoof-0 thread-0 [ run-76, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
